recommendationid,author,language,review,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,primarily_steam_deck
190395546,"{'steamid': '76561199528923146', 'num_games_owned': 0, 'num_reviews': 8, 'playtime_forever': 4179, 'playtime_last_two_weeks': 0, 'playtime_at_review': 3519, 'last_played': 1757132277}",english,better combat pace than smash ultimate and easier to pick up.,1742153344,1742153344,True,0,0,0.5,0,False,False,False,False
190389951,"{'steamid': '76561199471431638', 'num_games_owned': 0, 'num_reviews': 1, 'playtime_forever': 1212, 'playtime_last_two_weeks': 0, 'playtime_at_review': 833, 'last_played': 1746721043}",english,Remove gauntlets,1742149681,1742149681,True,0,0,0.5,0,False,False,False,False
190382736,"{'steamid': '76561199696160066', 'num_games_owned': 26, 'num_reviews': 6, 'playtime_forever': 1342, 'playtime_last_two_weeks': 19, 'playtime_at_review': 624, 'last_played': 1761318261}",english,fun with friends,1742144760,1742144760,True,0,0,0.5,0,False,False,False,False
190380131,"{'steamid': '76561199474439719', 'num_games_owned': 7, 'num_reviews': 3, 'playtime_forever': 14549, 'playtime_last_two_weeks': 0, 'playtime_at_review': 9292, 'last_played': 1754913871}",english,pretty good game ngl,1742143128,1742143128,True,0,0,0.5,0,False,False,False,False
190379291,"{'steamid': '76561199674820853', 'num_games_owned': 0, 'num_reviews': 2, 'playtime_forever': 868, 'playtime_last_two_weeks': 0, 'playtime_at_review': 770, 'last_played': 1757623712}",english,fun,1742142647,1742142647,True,0,0,0.5,0,False,False,False,False
190363143,"{'steamid': '76561199104133838', 'num_games_owned': 9, 'num_reviews': 1, 'playtime_forever': 8962, 'playtime_last_two_weeks': 0, 'playtime_at_review': 6837, 'last_played': 1756657008}",english,No drug in this world gives the same rush as winning a rematch against a Loki Sig spammer who gave you a thumbs-down emoji. 10/10,1742132599,1742132599,True,0,1,0.5,0,False,False,False,False
190355013,"{'steamid': '76561199831916143', 'num_games_owned': 0, 'num_reviews': 1, 'playtime_forever': 1677, 'playtime_last_two_weeks': 0, 'playtime_at_review': 908, 'last_played': 1757535657}",english,Its so good but some playerrs are to spam,1742126700,1742126700,True,0,0,0.5,0,False,False,False,False
190349509,"{'steamid': '76561198833016502', 'num_games_owned': 23, 'num_reviews': 6, 'playtime_forever': 14466, 'playtime_last_two_weeks': 0, 'playtime_at_review': 11136, 'last_played': 1760120790}",english,Ова е видео игра,1742122298,1742122298,True,0,0,0.5,0,False,True,False,False
190339251,"{'steamid': '76561199760440758', 'num_games_owned': 0, 'num_reviews': 14, 'playtime_forever': 98, 'playtime_last_two_weeks': 0, 'playtime_at_review': 92, 'last_played': 1746684033}",english,this game makes me wanna smash my keyboard,1742112849,1742112849,True,0,0,0.5,0,False,False,False,False
190331843,"{'steamid': '76561199245174405', 'num_games_owned': 0, 'num_reviews': 11, 'playtime_forever': 360, 'playtime_last_two_weeks': 0, 'playtime_at_review': 69, 'last_played': 1742909045}",english,Beautiful simple game,1742104975,1742104975,True,0,0,0.5,0,False,False,False,False
190331335,"{'steamid': '76561199002607837', 'num_games_owned': 0, 'num_reviews': 2, 'playtime_forever': 13463, 'playtime_last_two_weeks': 19, 'playtime_at_review': 5629, 'last_played': 1762133409}",english,Yes it makes me feeel anger that i have never felt before in my life,1742104395,1742104395,True,0,0,0.5,0,False,False,False,False
190321491,"{'steamid': '76561199103818751', 'num_games_owned': 0, 'num_reviews': 1, 'playtime_forever': 2643, 'playtime_last_two_weeks': 0, 'playtime_at_review': 2567, 'last_played': 1750736917}",english,this game fucking sucks download it if you want your ass touched by some 1k hour mordex bastard,1742094048,1742094048,True,2,0,0.525065958499908447,0,False,True,False,False
190320765,"{'steamid': '76561199819946885', 'num_games_owned': 0, 'num_reviews': 1, 'playtime_forever': 2754, 'playtime_last_two_weeks': 0, 'playtime_at_review': 877, 'last_played': 1757561273}",english,this is the best game for long car rides,1742093316,1742093316,True,0,0,0.5,0,False,True,False,False
190318522,"{'steamid': '76561199053431934', 'num_games_owned': 55, 'num_reviews': 17, 'playtime_forever': 4078, 'playtime_last_two_weeks': 0, 'playtime_at_review': 3228, 'last_played': 1748803609}",english,"It’s free, it’s fun. One second, you’re in control; the next, you’re being jiggled into orbit by some sweatlord who hasn’t touched grass since 2017.",1742091191,1742091191,True,0,0,0.5,0,False,False,False,False
190305294,"{'steamid': '76561198404719651', 'num_games_owned': 27, 'num_reviews': 10, 'playtime_forever': 1175, 'playtime_last_two_weeks': 0, 'playtime_at_review': 1152, 'last_played': 1742079988}",english,Farhad aldrig dö! nej nej Farhad lever föralltid!!,1742078603,1742078603,True,0,0,0.5,0,False,False,False,False
190305066,"{'steamid': '76561199248093503', 'num_games_owned': 0, 'num_reviews': 2, 'playtime_forever': 1117, 'playtime_last_two_weeks': 0, 'playtime_at_review': 411, 'last_played': 1756063797}",english,"gooooooooooooood game
",1742078423,1742078423,True,0,0,0.5,0,False,False,False,False
190296774,"{'steamid': '76561199807814221', 'num_games_owned': 0, 'num_reviews': 5, 'playtime_forever': 754, 'playtime_last_two_weeks': 0, 'playtime_at_review': 246, 'last_played': 1742699967}",english,fun,1742071964,1742071964,True,0,0,0.5,0,False,False,False,False
190293436,"{'steamid': '76561198970066589', 'num_games_owned': 0, 'num_reviews': 11, 'playtime_forever': 14106, 'playtime_last_two_weeks': 41, 'playtime_at_review': 9290, 'last_played': 1762225798}",english,fun fighting game for free,1742069471,1742069471,True,1,0,0.523809552192687988,0,False,False,False,False
190284272,"{'steamid': '76561199564420714', 'num_games_owned': 0, 'num_reviews': 1, 'playtime_forever': 20965, 'playtime_last_two_weeks': 34, 'playtime_at_review': 18750, 'last_played': 1761564793}",english,I hate this game but i can't stop playing it. Im losing my mind,1742062818,1742062818,True,0,0,0.5,0,False,False,False,False
190283301,"{'steamid': '76561198425274178', 'num_games_owned': 0, 'num_reviews': 7, 'playtime_forever': 38529, 'playtime_last_two_weeks': 1, 'playtime_at_review': 36819, 'last_played': 1761089215}",english,"Decent game.

Not as good as onions.

God I LOVE ONIONS!!!",1742062148,1742062148,True,0,0,0.5,0,False,False,False,False
190275967,"{'steamid': '76561199087164114', 'num_games_owned': 19, 'num_reviews': 2, 'playtime_forever': 56790, 'playtime_last_two_weeks': 0, 'playtime_at_review': 54637, 'last_played': 1759852651}",english,i lov brulala,1742057062,1742057062,True,0,0,0.5,0,False,False,False,False
190275320,"{'steamid': '76561199442878559', 'num_games_owned': 112, 'num_reviews': 8, 'playtime_forever': 7752, 'playtime_last_two_weeks': 98, 'playtime_at_review': 2620, 'last_played': 1761929576}",english,"skit spel, orkar inte längre.",1742056638,1742056638,True,0,0,0.5,0,False,True,False,False
190269730,"{'steamid': '76561199029721296', 'num_games_owned': 53, 'num_reviews': 12, 'playtime_forever': 62236, 'playtime_last_two_weeks': 0, 'playtime_at_review': 45977, 'last_played': 1759328067}",english,Went from top 500 on Asia to not even being in top 1000. I am depressed. Great game btw.,1742053089,1742053089,True,0,0,0.5,0,False,False,False,False
190243195,"{'steamid': '76561199223831417', 'num_games_owned': 31, 'num_reviews': 4, 'playtime_forever': 2311, 'playtime_last_two_weeks': 0, 'playtime_at_review': 2070, 'last_played': 1757997459}",english,"The game is very chaos 💀
(That's all i have to say)",1742033079,1742033079,True,0,0,0.5,0,False,False,False,False
190242083,"{'steamid': '76561199134886640', 'num_games_owned': 0, 'num_reviews': 1, 'playtime_forever': 17935, 'playtime_last_two_weeks': 0, 'playtime_at_review': 17677, 'last_played': 1758444740}",english,Wonderful Game,1742032001,1742032001,True,0,0,0.5,0,False,False,False,False
190231367,"{'steamid': '76561198986093779', 'num_games_owned': 0, 'num_reviews': 249, 'playtime_forever': 203, 'playtime_last_two_weeks': 0, 'playtime_at_review': 203, 'last_played': 1739339829}",english,i have one character,1742020616,1742020616,True,0,0,0.476190477609634399,0,False,False,False,False
190223205,"{'steamid': '76561199217540354', 'num_games_owned': 0, 'num_reviews': 15, 'playtime_forever': 1358, 'playtime_last_two_weeks': 0, 'playtime_at_review': 1358, 'last_played': 1742011061}",english,zombie chode,1742011111,1742011111,True,0,0,0.5,0,False,False,False,False
190223052,"{'steamid': '76561198973334599', 'num_games_owned': 0, 'num_reviews': 4, 'playtime_forever': 22384, 'playtime_last_two_weeks': 7, 'playtime_at_review': 19578, 'last_played': 1761628622}",english,1,1742010952,1742010952,True,0,0,0.5,0,False,False,False,False
190222492,"{'steamid': '76561198125986452', 'num_games_owned': 4, 'num_reviews': 1, 'playtime_forever': 7, 'playtime_last_two_weeks': 0, 'playtime_at_review': 6, 'last_played': 1755114725}",english,"Great game, just can't be tilting that much",1742010315,1742010315,True,0,0,0.5,0,False,False,False,False
