recommendationid,author,language,review,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,primarily_steam_deck
192005068,"{'steamid': '76561199048585098', 'num_games_owned': 9, 'num_reviews': 2, 'playtime_forever': 18796, 'playtime_last_two_weeks': 170, 'playtime_at_review': 1447, 'last_played': 1761259181}",portuguese,nicol,1743816744,1743816744,True,0,0,0.5,0,True,False,False,False
191721036,"{'steamid': '76561198023965773', 'num_games_owned': 13, 'num_reviews': 4, 'playtime_forever': 18926, 'playtime_last_two_weeks': 316, 'playtime_at_review': 3346, 'last_played': 1762029483}",portuguese,"É um jogo que da para relaxar, e podes jogar com amigos.",1743512051,1743512051,True,0,0,0.5,0,True,False,False,False
191225880,"{'steamid': '76561198391707585', 'num_games_owned': 28, 'num_reviews': 1, 'playtime_forever': 2522, 'playtime_last_two_weeks': 0, 'playtime_at_review': 2522, 'last_played': 1718802510}",portuguese,"Minha segunda conta nesse jogo, perdi horas e horas da minha vida nisso apenas fazendo barris e vinho. Claramente um jogo feito para os portugueses deste mundo 10/10",1742998113,1742998113,True,1,0,0.523809552192687988,0,True,False,False,False
191167609,"{'steamid': '76561199808365435', 'num_games_owned': 6, 'num_reviews': 1, 'playtime_forever': 4135, 'playtime_last_two_weeks': 0, 'playtime_at_review': 1335, 'last_played': 1760872233}",portuguese,viciate,1742925568,1742925568,True,0,0,0.5,0,True,False,False,False
191138716,"{'steamid': '76561199420407705', 'num_games_owned': 0, 'num_reviews': 1, 'playtime_forever': 8064, 'playtime_last_two_weeks': 0, 'playtime_at_review': 2086, 'last_played': 1757165433}",portuguese,Muito bom,1742897109,1742897109,True,0,0,0.5,0,True,False,False,False
191078447,"{'steamid': '76561199375405935', 'num_games_owned': 0, 'num_reviews': 13, 'playtime_forever': 1016, 'playtime_last_two_weeks': 0, 'playtime_at_review': 1008, 'last_played': 1742991591}",portuguese,Eu queria casar me com a Caroline mas vcs n deixam ( n gostam das minha prendas( carvão e pedras)) e uma colega minha quer se casar com Feiticeiro.,1742829452,1742829452,True,0,0,0.5,0,True,False,False,False
190986000,"{'steamid': '76561198829265097', 'num_games_owned': 0, 'num_reviews': 1, 'playtime_forever': 10151, 'playtime_last_two_weeks': 0, 'playtime_at_review': 10009, 'last_played': 1742748287}",portuguese,"bom jogo para jogar com amigos
",1742735555,1742735555,True,0,0,0.5,0,True,False,False,False
190664641,"{'steamid': '76561199244381790', 'num_games_owned': 0, 'num_reviews': 12, 'playtime_forever': 366, 'playtime_last_two_weeks': 0, 'playtime_at_review': 365, 'last_played': 1742425673}",portuguese,fazenda fodastica,1742425210,1742425210,True,0,0,0.5,0,True,False,False,False
190200579,"{'steamid': '76561198310393566', 'num_games_owned': 0, 'num_reviews': 1, 'playtime_forever': 392714, 'playtime_last_two_weeks': 3729, 'playtime_at_review': 333534, 'last_played': 1762211119}",portuguese,"I want to pay for DLCs.
Shut up and take my money!",1741987489,1741987489,True,0,0,0.5,0,True,False,False,False
190052489,"{'steamid': '76561199095200873', 'num_games_owned': 39, 'num_reviews': 4, 'playtime_forever': 9171, 'playtime_last_two_weeks': 0, 'playtime_at_review': 6042, 'last_played': 1758869320}",portuguese,Jogo bom pra relaxar,1741820423,1741820423,True,0,0,0.5,0,True,False,False,False
